"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2749332","R&#233;mi  Auguste and Jean  Martinet and Pierre  Tirilly","","","","Space-time Histograms And Their Application To Person Re-identification In TV Shows","91--97","","7","person re-identification, spatial-temporal descriptor, video","10.1145/2671188.2749332","","","","","","","2015","","Proceedings of the 5th ACM on International Conference on Multimedia Retrieval","ICMR '15","","978-1-4503-3274-3","Shanghai, China","ACM","New York, NY, USA"
"article","1874002","Philip  DeCamp and George  Shaw and Rony  Kubat and Deb  Roy","","","","An Immersive System for Browsing and Visualizing Surveillance Video","371--380","","10","behavioral analysis, immersive video, multi-model interface, visualization","10.1145/1873951.1874002","","","","","","","2010","","Proceedings of the 18th ACM International Conference on Multimedia","MM '10","","978-1-60558-933-6","Firenze, Italy","ACM","New York, NY, USA"
"article","2448572","Adisorn  Pasukmoon and Supavadee  Aramvith and Thanarat H. Chalidabhongse and Supakorn  Siddhichai","","","","Target Modeling for Tracking and Handoff in a Camera Network","16:1--16:7","16","7","CAMShift, camera handoff, game theory, multiple target models","10.1145/2448556.2448572","","","","","","","2013","","Proceedings of the 7th International Conference on Ubiquitous Information Management and Communication","ICUIMC '13","","978-1-4503-1958-4","Kota Kinabalu, Malaysia","ACM","New York, NY, USA"
"article","3180080","Praneeth  Susarla and Utkarsh  Agrawal and Dinesh Babu Jayagopi","","","","Human Weapon-Activity Recognition in Surveillance Videos Using Structural-RNN","101--107","","7","Human-Object Interaction, Structural RNN, Tracking, Video Surveillance","10.1145/3177148.3180080","","","","","","","2018","","Proceedings of the 2Nd Mediterranean Conference on Pattern Recognition and Artificial Intelligence","MedPRAI '18","","978-1-4503-5290-1","Rabat, Morocco","ACM","New York, NY, USA"
"article","1930508","Jarno  Ojala and Johan  Saarela","","","","Understanding Social Needs and Motivations to Share Data in Online Sports Communities","95--102","","8","design, exercise, health, online communities, social features, social interaction, social media","10.1145/1930488.1930508","","","","","","","2010","","Proceedings of the 14th International Academic MindTrek Conference: Envisioning Future Media Environments","MindTrek '10","","978-1-4503-0011-7","Tampere, Finland","ACM","New York, NY, USA"
"article","3134237","Stefan  L&#252;dtke and Max  Schr&#246;der and Frank  Kr&#252;ger and Thomas  Kirste","","","","Where Are My Colleagues?: Tracking and Counting Multiple Persons Using Lifted Marginal Filtering","6:1--6:6","6","6","Bayesian filtering, Rao-Blackwellization, abstraction, data association, lifted probabilistic inference, multiple object tracking","10.1145/3134230.3134237","","","","","","","2017","","Proceedings of the 4th International Workshop on Sensor-based Activity Recognition and Interaction","iWOAR '17","","978-1-4503-5223-9","Rostock, Germany","ACM","New York, NY, USA"
"article","1577106","Jonathan  Huang and Carlos  Guestrin and Leonidas  Guibas","","","","Fourier Theoretic Probabilistic Inference over Permutations","997--1070","","74","","","J. Mach. Learn. Res.","12/1/2009","10","","","June","2009","1532-4435","","","","","","JMLR.org",""
"article","3173936","R&#250;ben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl","","","","Activity Tracking in Vivo","362:1--362:13","362","13","personal informatics, physical activity tracking","10.1145/3173574.3173936","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","2948930","Vilelmini  Kalampratsidou and Elizabeth B. Torres","","","","Outcome Measures of Deliberate and Spontaneous Motions","9:1--9:8","9","8","Personalized statistics, deliberate motions, sleep and exercise, spontaneous motions, wearable sensors","10.1145/2948910.2948930","","","","","","","2016","","Proceedings of the 3rd International Symposium on Movement and Computing","MOCO '16","","978-1-4503-4307-7","Thessaloniki, GA, Greece","ACM","New York, NY, USA"
"article","2980127","Yaxiong  Xie and Jie  Xiong and Mo  Li and Kyle  Jamieson","","","","xD-track: Leveraging Multi-dimensional Information for Passive Wi-fi Tracking","39--43","","5","","10.1145/2980115.2980127","","","","","","","2016","","Proceedings of the 3rd Workshop on Hot Topics in Wireless","HotWireless '16","","978-1-4503-4251-3","New York City, New York","ACM","New York, NY, USA"
"article","3287020","Michael  Chesser and Leon  Chea and Hoa  Van Nguyen and Damith C. Ranasinghe","","","","bTracked: Highly Accurate Field Deployable Real-Time Indoor Spatial Tracking for Human Behavior Observations","1--10","","10","BLE Beacons, Bluetooth Wearable Sensors, Generic Sensor Models, Human Motion Observations, Particle Filter, Spatial Tracking","10.1145/3286978.3287020","","","","","","","2018","","Proceedings of the 15th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","MobiQuitous '18","","978-1-4503-6093-7","New York, NY, USA","ACM","New York, NY, USA"
"article","3281158","Carla  Viegas and Shing-Hon  Lau and Roy  Maxion and Alexander  Hauptmann","","","","Distinction of Stress and Non-stress Tasks Using Facial Action Units","7:1--7:6","7","6","affective computing, facial action units, stress detection","10.1145/3281151.3281158","","","","","","","2018","","Proceedings of the 20th International Conference on Multimodal Interaction: Adjunct","ICMI '18","","978-1-4503-6002-9","Boulder, Colorado","ACM","New York, NY, USA"
"article","3130911","Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang","","","","Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments","46:1--46:22","46","22","personal informatics, quantified self, self-tracking","10.1145/3130911","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","September 2017","1","3","","September","2017","2474-9567","","","","","","ACM","New York, NY, USA"
"article","2483986","Jouni  Sarvanko and Mika  Rautiainen and Arto  Heikkinen and Mika  Ylianttila","","","","Consumer Video Dataset with Marked Head Trajectories","84--89","","6","head tracking dataset, mpeg-7, video object annotation tool","10.1145/2483977.2483986","","","","","","","2013","","Proceedings of the 4th ACM Multimedia Systems Conference","MMSys '13","","978-1-4503-1894-5","Oslo, Norway","ACM","New York, NY, USA"
"article","2971656","Daniel A. Epstein and Jennifer H. Kang and Laura R. Pina and James  Fogarty and Sean A. Munson","","","","Reconsidering the Device in the Drawer: Lapses As a Design Opportunity in Personal Informatics","829--840","","12","abandonment, lapsing, personal informatics, re-engagement","10.1145/2971648.2971656","","","","","","","2016","","Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing","UbiComp '16","","978-1-4503-4461-6","Heidelberg, Germany","ACM","New York, NY, USA"
"article","1389620","Vasileios  Mylonakis and John  Soldatos and Aristodemos  Pnevmatikakis and Lazaros  Polymenakos and Alex  Sorin and Hagai  Aronowitz","","","","Using Robust Audio and Video Processing Technologies to Alleviate the Elderly Cognitive Decline","28:1--28:8","28","8","3D tracking, automatic speech, speaker and face recognition","10.1145/1389586.1389620","","","","","","","2008","","Proceedings of the 1st International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '08","","978-1-60558-067-8","Athens, Greece","ACM","New York, NY, USA"
