type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2858103,Chris  Elsden and Abigail C. Durrant and David S. Kirk,,,,It's Just My History Isn'T It?: Understanding Smart Journaling Practices,2819--2831,,13,"lifelogging, memory, quantified self, smart journals",10.1145/2858036.2858103,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2580937,Kevin  Gaunt and J&#250;lia  Nacsa and Marcel  Penz,,,,Baby Lucent: Pitfalls of Applying Quantified Self to Baby Products,263--268,,6,"infant body data, quantified baby and family products, quantified self, quantified self obstacles, smart pacifiers",10.1145/2559206.2580937,,,,,,,2014,,CHI '14 Extended Abstracts on Human Factors in Computing Systems,CHI EA '14,,978-1-4503-2474-8,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2580935,Max S. Wenger and Jarad  Bell and Peter  McEvoy and Cherie  Yamaguchi and Auriana  Shokrpour,,,,Bloom: Fostering Healthy and Peaceful Pregnancies with Personal Analytics,245--250,,6,"body data, persuasive design, quantified self, self-monitoring, self-tracking",10.1145/2559206.2580935,,,,,,,2014,,CHI '14 Extended Abstracts on Human Factors in Computing Systems,CHI EA '14,,978-1-4503-2474-8,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2581283,Heather S. Packer and Gustavo  Buzogany and Daniel Alexander Smith and Laura  Dragan and Max  Van Kleek and Nigel R. Shadbolt,,,,The Editable Self: A Workbench for Personal Activity Data,2185--2190,,6,"health monitoring, health sensors, interfaces, quantified self, self-tracking",10.1145/2559206.2581283,,,,,,,2014,,CHI '14 Extended Abstracts on Human Factors in Computing Systems,CHI EA '14,,978-1-4503-2474-8,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2892406,Amid  Ayobi and Paul  Marshall and Anna L. Cox,,,,Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions,2774--2781,,8,"activity tracking, lived informatics, personal informatics, quantified self, self-tracking",10.1145/2851581.2892406,,,,,,,2016,,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '16,,978-1-4503-4082-3,"San Jose, California, USA",ACM,"New York, NY, USA"
article,3027071,Marketa  Dolejsova and Denisa  Kera and Cristiano  Storni and Rohit Ashok Khot and Ivan John  Clement and Inka  Pavelka and Puneet  Kishor,,,,Digital Health &#38; Self-experimentation: Design Challenges &#38; Provocations,510--517,,8,"citizen science, digital health, quantified self, self-experimentation, self-tracking",10.1145/3027063.3027071,,,,,,,2017,,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '17,,978-1-4503-4656-6,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,2968331,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia,,,,New Frontiers of Quantified Self 2: Going Beyond Numbers,506--509,,4,"personal informatics, quantified self, self-monitoring, self-tracking, wearable technologies",10.1145/2968219.2968331,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3125508,Ada S. Kim,,,,Quantified Self Meets Perceptual Learning: How to Brew a Cup of Tea,887--892,,6,"learning through practice, perceptual learning, personal informatics, quantified self, tea",10.1145/3123024.3125508,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,3183708,Elon Y.L. Ng and Nancy  Law and Allan H.K. Yuen,,,,Understanding Learner Lives Through Digital Footprints,26:1--26:1,26,1,"ACM proceedings, Digital footprint, collaborative ethnography, learner lives, quantified self",10.1145/3183654.3183708,,,,,,,2018,,"Proceedings of the Technology, Mind, and Society",TechMindSociety '18,,978-1-4503-5420-2,"Washington, DC, USA",ACM,"New York, NY, USA"
article,3313772,Chris  Elsden,,,,SIGCHI Outstanding Dissertation Award: A Quantified Past,Award4:1--Award4:5,Award4,5,"data-driven life, documentary informatics, quantified self, remembering, speculative methods",10.1145/3290607.3313772,,,,,,,2019,,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,CHI EA '19,,978-1-4503-5971-9,"Glasgow, Scotland Uk",ACM,"New York, NY, USA"
